displayName,joined,points,tier,totalBronzeMedals,totalGoldMedals,totalMedals,totalSilverMedals
bestfitting,2016-09-07T16:39:04.817Z,184323.0,grandmaster,0,12,16,4
Μαριος Μιχαηλιδης KazAnova,2013-06-24T19:35:02.9Z,146951.0,grandmaster,26,30,85,29
Giba,2012-08-23T17:26:51.11Z,143297.0,grandmaster,22,39,91,30
Komaki,2012-11-13T02:47:47.523Z,118405.0,grandmaster,3,5,15,7
raddar,2015-08-24T11:49:01.703Z,113900.0,grandmaster,4,10,22,8
Little Boat,2014-04-20T02:13:51Z,111791.0,grandmaster,6,14,37,17
Eureka,2014-02-28T16:23:47.597Z,110880.0,grandmaster,5,19,43,19
weiwei,2016-04-16T03:47:27.027Z,99946.0,grandmaster,4,8,18,6
Kohei,2011-02-16T10:14:36Z,98121.0,grandmaster,18,15,62,29
ZFTurbo,2015-11-08T08:25:50.383Z,97769.0,grandmaster,8,10,34,16
outrunner,2017-02-28T02:37:59.207Z,90647.0,master,1,3,12,8
Stanislav Semenov,2013-12-13T08:10:20.96Z,90640.0,grandmaster,0,28,37,9
plantsgo,2016-10-12T03:07:13.557Z,87182.0,grandmaster,1,5,8,2
idle_speculation,2013-07-13T19:24:20.74Z,86959.0,grandmaster,7,8,23,8
Pavel Pleskov,2015-05-21T12:01:59.73Z,82754.0,grandmaster,4,7,18,7
To Train Them Is My Cause,2016-12-08T22:23:59.267Z,82025.0,master,2,3,13,8
David,2017-01-29T03:11:44.483Z,81243.0,master,5,3,9,1
alijs,2016-07-20T18:49:51.157Z,80972.0,master,7,3,20,10
Mathurin Aché,2011-10-11T10:41:53.177Z,80420.0,master,19,4,34,11
Michael Jahrer,2010-06-25T21:54:51Z,76364.0,grandmaster,2,14,27,11
Faron,2014-06-23T12:54:35.657Z,69806.0,grandmaster,3,15,23,5
Silogram,2012-12-09T09:04:56.42Z,69537.0,grandmaster,10,11,48,27
CPMP,2012-12-16T12:03:05.527Z,67282.0,grandmaster,2,5,15,8
utility,2014-12-09T12:04:11.43Z,65603.0,grandmaster,4,14,25,7
James Trotman,2015-05-05T16:00:57.387Z,65158.0,master,8,2,33,23
Shize Su,2014-02-06T20:13:15.337Z,64480.0,grandmaster,6,15,39,18
thousandvoices,2017-03-19T22:32:22.647Z,62656.0,grandmaster,1,5,7,1
beluga,2011-10-05T16:49:08.02Z,61118.0,grandmaster,10,11,31,10
Mike Kim,2012-10-22T19:04:42.297Z,60983.0,grandmaster,25,7,65,33
Jiwei Liu,2013-05-09T03:27:56.19Z,60173.0,grandmaster,10,11,44,23
Russ W,2015-07-30T00:13:52.503Z,59622.0,grandmaster,1,9,14,4
Daniel FG,2014-08-03T19:08:38.097Z,58952.0,grandmaster,4,7,21,10
Miha Skalic,2014-07-05T07:11:57.397Z,58857.0,master,0,3,5,2
Nima Shahbazi,2015-04-20T20:37:58.653Z,57624.0,grandmaster,0,8,16,8
piupiu,2016-03-23T09:21:37.59Z,57162.0,master,1,4,7,2
mchahhou,2013-10-19T22:37:51.46Z,57148.0,master,2,4,12,6
anokas,2016-01-16T21:02:01.33Z,55749.0,master,5,5,17,7
neongen,2016-04-24T18:35:13.297Z,54872.0,master,8,2,17,7
ash hafez,2014-11-04T15:38:14.937Z,54347.0,grandmaster,6,10,33,17
